epoch,accuracy,precision,recall,f1_score,roc_auc,actual,probs
1,0.10344827586206896,0.05625,0.09375,0.06439393939393939,0.655421156942896,"[5, 5, 1, 3, 1, 1, 3, 6, 7, 2, 0, 3, 0, 4, 6, 2, 2, 3, 6, 7, 6, 0, 0, 5, 3, 3, 4, 4, 2]","[[0.00011390121620627411, 0.5951683994362396, 0.0147887868908302, 0.044725619522720673, 0.030977592404376773, 0.018678596292087596, 0.02756098564349671, 0.2679861185940421], [0.00012364624814127965, 0.18009288874355617, 0.781823021113721, 0.03007986731413582, 0.002439926024217684, 0.004166774515088162, 0.0008688523196190611, 0.00040502372152062375], [1.3158098937385359e-05, 0.986696147569581, 0.0020898618527354505, 0.005893011888401592, 0.003581391848988705, 0.0009126377314243598, 4.9887768073885064e-05, 0.0007639032418574662], [9.138917700951109e-06, 0.9281502055507382, 0.06944926107132199, 0.00027211995054706806, 3.464260627632357e-05, 0.0016988613417257535, 1.0526504169390217e-05, 0.00037524405752015953], [0.00010978375647964655, 0.031750899423308915, 0.9275356282882663, 0.010223435799030017, 0.02313385401684635, 0.006098937253730736, 0.0004769039155426662, 0.0006705575467954234], [5.912711281590443e-06, 0.03456667850258944, 0.9635626699117686, 0.0007161464352952643, 0.00030919377274511614, 0.000471644310995915, 0.00019920064108401675, 0.0001685537142401072], [0.00020471081216496759, 0.09058779817708745, 0.005389548797080677, 0.4182164121232121, 0.4812136213824303, 0.0012696804280906587, 0.00033078102693578785, 0.0027874472529981196], [0.0002242495831863726, 0.2105729544170976, 0.504968099788146, 0.00465514689377854, 0.026887833444037283, 0.0020159963625324363, 0.02642221745642384, 0.22425350205479777], [4.426159141576519e-07, 0.00018799238787359454, 7.302552180779326e-05, 0.9380411172007628, 0.00012276098183510386, 0.0026941376128261966, 6.938036195398166e-05, 0.058811143317026165], [2.2560242973466878e-05, 0.9428713366566361, 0.012484028894896892, 0.0001808286429400353, 0.0022540630077127156, 0.03017370298065281, 7.721189666278623e-05, 0.01193626767752518], [7.699046472841594e-06, 0.8703650181188717, 0.12081167416498685, 0.0023131529959745287, 0.0007395731722253838, 0.004854427842886275, 0.00014940730887947357, 0.0007590473497031697], [1.6911338168860999e-07, 0.0003215082803567203, 0.41929047784514745, 0.5790489719583958, 3.1164300044258667e-05, 0.0013057681847867375, 1.6931095568498688e-07, 1.771006931988444e-06], [0.0003783172592469943, 0.9119451020834894, 0.01355584108349552, 0.007934151377333675, 0.048955696238272596, 0.012159743294111996, 0.0016262459109244562, 0.003444902753125269], [2.4955855720056606e-05, 0.7034338341617546, 0.002351689827386263, 0.005550872781737811, 0.00036361649559594176, 0.0007774998660434242, 0.24728520711763669, 0.04021232389412502], [4.042957946824743e-06, 0.028052235578037068, 0.001006744071824627, 0.6788622499035816, 0.0008798842875521843, 0.05923923277843909, 0.0008529627655822905, 0.23110264765703648], [0.0038398739318443943, 0.1538646855625499, 0.34564265506122654, 0.195459752014816, 0.12240804021948887, 0.13656008884644544, 0.011589263589675632, 0.030635640773953574], [3.403205910986208e-05, 0.012433631432893324, 0.03366449291014765, 0.008021798903304051, 0.7400818444368041, 0.20560710156587386, 8.862936774378656e-05, 6.84693241234135e-05], [1.8282582070905715e-05, 0.5527405247713405, 0.028670321026817436, 0.39313469098773735, 0.006176487526379177, 0.018833199909769133, 2.69382391779374e-05, 0.0003995549567075421], [1.490499543754694e-05, 0.015116871260797145, 0.03498892762464012, 0.003947402168005003, 0.004897378403959015, 0.0024429805041600266, 0.03520717670037088, 0.9033843583426304], [1.144482625124507e-05, 0.5191378630754291, 0.002713597454068984, 0.003361390814964994, 6.578636686587985e-05, 0.0017436268025832948, 0.05764671387056215, 0.41531957678927445], [1.0186348564020541e-07, 4.080966618810238e-05, 5.369377224993199e-05, 0.9176741283781309, 1.3460074314411387e-05, 0.009430050081580484, 0.06342179576630494, 0.009365960397745812], [4.292669753178553e-05, 0.9859903885561303, 0.004792754775180582, 0.00566954631334909, 0.0005320147570857028, 0.001271343639911702, 0.00058019102761067, 0.0011208342332002614], [0.00033749203406100526, 0.33028829663504433, 0.06415754444563057, 0.1670927616246831, 0.39264543105351873, 0.0019752440597943727, 0.007099520673006143, 0.03640370947426169], [1.4088815115038406e-07, 0.00014886010985458903, 6.558878727850153e-05, 0.9058768841490956, 1.369366007819178e-05, 0.093890685379756, 4.507953842758936e-07, 3.6962304018338602e-06], [2.810457666555844e-05, 0.8364164587284509, 0.00227273585738985, 0.03831920087145752, 0.001900954461662174, 0.11982974529132354, 0.0007139122663090223, 0.0005188879467412015], [9.619965517840563e-05, 0.166810506860732, 0.7895679704507819, 0.006661546693299247, 0.0005088481561199799, 0.03490664717951934, 5.262109676372859e-05, 0.0013956599076055069], [2.6617264807985337e-07, 0.0036093749991347895, 6.991268438662882e-05, 4.3285645266589635e-05, 5.569132377528975e-05, 0.9961944734770852, 2.447710677374975e-05, 2.5185909293825687e-06], [1.36861167561132e-05, 0.0963915467355072, 0.11582450418228721, 0.004331810044126059, 0.016891121256431024, 0.0025058852926865527, 0.059396535294716, 0.7046449110774897], [2.4716490404282292e-05, 0.9644621196548608, 0.019782763444150364, 0.003562275984348998, 0.008668283534498033, 0.001892488971684833, 0.0004316767554663531, 0.0011756751645864458]]"
2,0.10344827586206896,0.05625,0.09375,0.06439393939393939,0.655421156942896,"[5, 5, 1, 3, 1, 1, 3, 6, 7, 2, 0, 3, 0, 4, 6, 2, 2, 3, 6, 7, 6, 0, 0, 5, 3, 3, 4, 4, 2]","[[0.00011390121620627411, 0.5951683994362396, 0.0147887868908302, 0.044725619522720673, 0.030977592404376773, 0.018678596292087596, 0.02756098564349671, 0.2679861185940421], [0.00012364624814127965, 0.18009288874355617, 0.781823021113721, 0.03007986731413582, 0.002439926024217684, 0.004166774515088162, 0.0008688523196190611, 0.00040502372152062375], [1.3158098937385359e-05, 0.986696147569581, 0.0020898618527354505, 0.005893011888401592, 0.003581391848988705, 0.0009126377314243598, 4.9887768073885064e-05, 0.0007639032418574662], [9.138917700951109e-06, 0.9281502055507382, 0.06944926107132199, 0.00027211995054706806, 3.464260627632357e-05, 0.0016988613417257535, 1.0526504169390217e-05, 0.00037524405752015953], [0.00010978375647964655, 0.031750899423308915, 0.9275356282882663, 0.010223435799030017, 0.02313385401684635, 0.006098937253730736, 0.0004769039155426662, 0.0006705575467954234], [5.912711281590443e-06, 0.03456667850258944, 0.9635626699117686, 0.0007161464352952643, 0.00030919377274511614, 0.000471644310995915, 0.00019920064108401675, 0.0001685537142401072], [0.00020471081216496759, 0.09058779817708745, 0.005389548797080677, 0.4182164121232121, 0.4812136213824303, 0.0012696804280906587, 0.00033078102693578785, 0.0027874472529981196], [0.0002242495831863726, 0.2105729544170976, 0.504968099788146, 0.00465514689377854, 0.026887833444037283, 0.0020159963625324363, 0.02642221745642384, 0.22425350205479777], [4.426159141576519e-07, 0.00018799238787359454, 7.302552180779326e-05, 0.9380411172007628, 0.00012276098183510386, 0.0026941376128261966, 6.938036195398166e-05, 0.058811143317026165], [2.2560242973466878e-05, 0.9428713366566361, 0.012484028894896892, 0.0001808286429400353, 0.0022540630077127156, 0.03017370298065281, 7.721189666278623e-05, 0.01193626767752518], [7.699046472841594e-06, 0.8703650181188717, 0.12081167416498685, 0.0023131529959745287, 0.0007395731722253838, 0.004854427842886275, 0.00014940730887947357, 0.0007590473497031697], [1.6911338168860999e-07, 0.0003215082803567203, 0.41929047784514745, 0.5790489719583958, 3.1164300044258667e-05, 0.0013057681847867375, 1.6931095568498688e-07, 1.771006931988444e-06], [0.0003783172592469943, 0.9119451020834894, 0.01355584108349552, 0.007934151377333675, 0.048955696238272596, 0.012159743294111996, 0.0016262459109244562, 0.003444902753125269], [2.4955855720056606e-05, 0.7034338341617546, 0.002351689827386263, 0.005550872781737811, 0.00036361649559594176, 0.0007774998660434242, 0.24728520711763669, 0.04021232389412502], [4.042957946824743e-06, 0.028052235578037068, 0.001006744071824627, 0.6788622499035816, 0.0008798842875521843, 0.05923923277843909, 0.0008529627655822905, 0.23110264765703648], [0.0038398739318443943, 0.1538646855625499, 0.34564265506122654, 0.195459752014816, 0.12240804021948887, 0.13656008884644544, 0.011589263589675632, 0.030635640773953574], [3.403205910986208e-05, 0.012433631432893324, 0.03366449291014765, 0.008021798903304051, 0.7400818444368041, 0.20560710156587386, 8.862936774378656e-05, 6.84693241234135e-05], [1.8282582070905715e-05, 0.5527405247713405, 0.028670321026817436, 0.39313469098773735, 0.006176487526379177, 0.018833199909769133, 2.69382391779374e-05, 0.0003995549567075421], [1.490499543754694e-05, 0.015116871260797145, 0.03498892762464012, 0.003947402168005003, 0.004897378403959015, 0.0024429805041600266, 0.03520717670037088, 0.9033843583426304], [1.144482625124507e-05, 0.5191378630754291, 0.002713597454068984, 0.003361390814964994, 6.578636686587985e-05, 0.0017436268025832948, 0.05764671387056215, 0.41531957678927445], [1.0186348564020541e-07, 4.080966618810238e-05, 5.369377224993199e-05, 0.9176741283781309, 1.3460074314411387e-05, 0.009430050081580484, 0.06342179576630494, 0.009365960397745812], [4.292669753178553e-05, 0.9859903885561303, 0.004792754775180582, 0.00566954631334909, 0.0005320147570857028, 0.001271343639911702, 0.00058019102761067, 0.0011208342332002614], [0.00033749203406100526, 0.33028829663504433, 0.06415754444563057, 0.1670927616246831, 0.39264543105351873, 0.0019752440597943727, 0.007099520673006143, 0.03640370947426169], [1.4088815115038406e-07, 0.00014886010985458903, 6.558878727850153e-05, 0.9058768841490956, 1.369366007819178e-05, 0.093890685379756, 4.507953842758936e-07, 3.6962304018338602e-06], [2.810457666555844e-05, 0.8364164587284509, 0.00227273585738985, 0.03831920087145752, 0.001900954461662174, 0.11982974529132354, 0.0007139122663090223, 0.0005188879467412015], [9.619965517840563e-05, 0.166810506860732, 0.7895679704507819, 0.006661546693299247, 0.0005088481561199799, 0.03490664717951934, 5.262109676372859e-05, 0.0013956599076055069], [2.6617264807985337e-07, 0.0036093749991347895, 6.991268438662882e-05, 4.3285645266589635e-05, 5.569132377528975e-05, 0.9961944734770852, 2.447710677374975e-05, 2.5185909293825687e-06], [1.36861167561132e-05, 0.0963915467355072, 0.11582450418228721, 0.004331810044126059, 0.016891121256431024, 0.0025058852926865527, 0.059396535294716, 0.7046449110774897], [2.4716490404282292e-05, 0.9644621196548608, 0.019782763444150364, 0.003562275984348998, 0.008668283534498033, 0.001892488971684833, 0.0004316767554663531, 0.0011756751645864458]]"
3,0.10344827586206896,0.05625,0.09375,0.06439393939393939,0.655421156942896,"[5, 5, 1, 3, 1, 1, 3, 6, 7, 2, 0, 3, 0, 4, 6, 2, 2, 3, 6, 7, 6, 0, 0, 5, 3, 3, 4, 4, 2]","[[0.00011390121620627411, 0.5951683994362396, 0.0147887868908302, 0.044725619522720673, 0.030977592404376773, 0.018678596292087596, 0.02756098564349671, 0.2679861185940421], [0.00012364624814127965, 0.18009288874355617, 0.781823021113721, 0.03007986731413582, 0.002439926024217684, 0.004166774515088162, 0.0008688523196190611, 0.00040502372152062375], [1.3158098937385359e-05, 0.986696147569581, 0.0020898618527354505, 0.005893011888401592, 0.003581391848988705, 0.0009126377314243598, 4.9887768073885064e-05, 0.0007639032418574662], [9.138917700951109e-06, 0.9281502055507382, 0.06944926107132199, 0.00027211995054706806, 3.464260627632357e-05, 0.0016988613417257535, 1.0526504169390217e-05, 0.00037524405752015953], [0.00010978375647964655, 0.031750899423308915, 0.9275356282882663, 0.010223435799030017, 0.02313385401684635, 0.006098937253730736, 0.0004769039155426662, 0.0006705575467954234], [5.912711281590443e-06, 0.03456667850258944, 0.9635626699117686, 0.0007161464352952643, 0.00030919377274511614, 0.000471644310995915, 0.00019920064108401675, 0.0001685537142401072], [0.00020471081216496759, 0.09058779817708745, 0.005389548797080677, 0.4182164121232121, 0.4812136213824303, 0.0012696804280906587, 0.00033078102693578785, 0.0027874472529981196], [0.0002242495831863726, 0.2105729544170976, 0.504968099788146, 0.00465514689377854, 0.026887833444037283, 0.0020159963625324363, 0.02642221745642384, 0.22425350205479777], [4.426159141576519e-07, 0.00018799238787359454, 7.302552180779326e-05, 0.9380411172007628, 0.00012276098183510386, 0.0026941376128261966, 6.938036195398166e-05, 0.058811143317026165], [2.2560242973466878e-05, 0.9428713366566361, 0.012484028894896892, 0.0001808286429400353, 0.0022540630077127156, 0.03017370298065281, 7.721189666278623e-05, 0.01193626767752518], [7.699046472841594e-06, 0.8703650181188717, 0.12081167416498685, 0.0023131529959745287, 0.0007395731722253838, 0.004854427842886275, 0.00014940730887947357, 0.0007590473497031697], [1.6911338168860999e-07, 0.0003215082803567203, 0.41929047784514745, 0.5790489719583958, 3.1164300044258667e-05, 0.0013057681847867375, 1.6931095568498688e-07, 1.771006931988444e-06], [0.0003783172592469943, 0.9119451020834894, 0.01355584108349552, 0.007934151377333675, 0.048955696238272596, 0.012159743294111996, 0.0016262459109244562, 0.003444902753125269], [2.4955855720056606e-05, 0.7034338341617546, 0.002351689827386263, 0.005550872781737811, 0.00036361649559594176, 0.0007774998660434242, 0.24728520711763669, 0.04021232389412502], [4.042957946824743e-06, 0.028052235578037068, 0.001006744071824627, 0.6788622499035816, 0.0008798842875521843, 0.05923923277843909, 0.0008529627655822905, 0.23110264765703648], [0.0038398739318443943, 0.1538646855625499, 0.34564265506122654, 0.195459752014816, 0.12240804021948887, 0.13656008884644544, 0.011589263589675632, 0.030635640773953574], [3.403205910986208e-05, 0.012433631432893324, 0.03366449291014765, 0.008021798903304051, 0.7400818444368041, 0.20560710156587386, 8.862936774378656e-05, 6.84693241234135e-05], [1.8282582070905715e-05, 0.5527405247713405, 0.028670321026817436, 0.39313469098773735, 0.006176487526379177, 0.018833199909769133, 2.69382391779374e-05, 0.0003995549567075421], [1.490499543754694e-05, 0.015116871260797145, 0.03498892762464012, 0.003947402168005003, 0.004897378403959015, 0.0024429805041600266, 0.03520717670037088, 0.9033843583426304], [1.144482625124507e-05, 0.5191378630754291, 0.002713597454068984, 0.003361390814964994, 6.578636686587985e-05, 0.0017436268025832948, 0.05764671387056215, 0.41531957678927445], [1.0186348564020541e-07, 4.080966618810238e-05, 5.369377224993199e-05, 0.9176741283781309, 1.3460074314411387e-05, 0.009430050081580484, 0.06342179576630494, 0.009365960397745812], [4.292669753178553e-05, 0.9859903885561303, 0.004792754775180582, 0.00566954631334909, 0.0005320147570857028, 0.001271343639911702, 0.00058019102761067, 0.0011208342332002614], [0.00033749203406100526, 0.33028829663504433, 0.06415754444563057, 0.1670927616246831, 0.39264543105351873, 0.0019752440597943727, 0.007099520673006143, 0.03640370947426169], [1.4088815115038406e-07, 0.00014886010985458903, 6.558878727850153e-05, 0.9058768841490956, 1.369366007819178e-05, 0.093890685379756, 4.507953842758936e-07, 3.6962304018338602e-06], [2.810457666555844e-05, 0.8364164587284509, 0.00227273585738985, 0.03831920087145752, 0.001900954461662174, 0.11982974529132354, 0.0007139122663090223, 0.0005188879467412015], [9.619965517840563e-05, 0.166810506860732, 0.7895679704507819, 0.006661546693299247, 0.0005088481561199799, 0.03490664717951934, 5.262109676372859e-05, 0.0013956599076055069], [2.6617264807985337e-07, 0.0036093749991347895, 6.991268438662882e-05, 4.3285645266589635e-05, 5.569132377528975e-05, 0.9961944734770852, 2.447710677374975e-05, 2.5185909293825687e-06], [1.36861167561132e-05, 0.0963915467355072, 0.11582450418228721, 0.004331810044126059, 0.016891121256431024, 0.0025058852926865527, 0.059396535294716, 0.7046449110774897], [2.4716490404282292e-05, 0.9644621196548608, 0.019782763444150364, 0.003562275984348998, 0.008668283534498033, 0.001892488971684833, 0.0004316767554663531, 0.0011756751645864458]]"
4,0.10344827586206896,0.05625,0.09375,0.06439393939393939,0.655421156942896,"[5, 5, 1, 3, 1, 1, 3, 6, 7, 2, 0, 3, 0, 4, 6, 2, 2, 3, 6, 7, 6, 0, 0, 5, 3, 3, 4, 4, 2]","[[0.00011390121620627411, 0.5951683994362396, 0.0147887868908302, 0.044725619522720673, 0.030977592404376773, 0.018678596292087596, 0.02756098564349671, 0.2679861185940421], [0.00012364624814127965, 0.18009288874355617, 0.781823021113721, 0.03007986731413582, 0.002439926024217684, 0.004166774515088162, 0.0008688523196190611, 0.00040502372152062375], [1.3158098937385359e-05, 0.986696147569581, 0.0020898618527354505, 0.005893011888401592, 0.003581391848988705, 0.0009126377314243598, 4.9887768073885064e-05, 0.0007639032418574662], [9.138917700951109e-06, 0.9281502055507382, 0.06944926107132199, 0.00027211995054706806, 3.464260627632357e-05, 0.0016988613417257535, 1.0526504169390217e-05, 0.00037524405752015953], [0.00010978375647964655, 0.031750899423308915, 0.9275356282882663, 0.010223435799030017, 0.02313385401684635, 0.006098937253730736, 0.0004769039155426662, 0.0006705575467954234], [5.912711281590443e-06, 0.03456667850258944, 0.9635626699117686, 0.0007161464352952643, 0.00030919377274511614, 0.000471644310995915, 0.00019920064108401675, 0.0001685537142401072], [0.00020471081216496759, 0.09058779817708745, 0.005389548797080677, 0.4182164121232121, 0.4812136213824303, 0.0012696804280906587, 0.00033078102693578785, 0.0027874472529981196], [0.0002242495831863726, 0.2105729544170976, 0.504968099788146, 0.00465514689377854, 0.026887833444037283, 0.0020159963625324363, 0.02642221745642384, 0.22425350205479777], [4.426159141576519e-07, 0.00018799238787359454, 7.302552180779326e-05, 0.9380411172007628, 0.00012276098183510386, 0.0026941376128261966, 6.938036195398166e-05, 0.058811143317026165], [2.2560242973466878e-05, 0.9428713366566361, 0.012484028894896892, 0.0001808286429400353, 0.0022540630077127156, 0.03017370298065281, 7.721189666278623e-05, 0.01193626767752518], [7.699046472841594e-06, 0.8703650181188717, 0.12081167416498685, 0.0023131529959745287, 0.0007395731722253838, 0.004854427842886275, 0.00014940730887947357, 0.0007590473497031697], [1.6911338168860999e-07, 0.0003215082803567203, 0.41929047784514745, 0.5790489719583958, 3.1164300044258667e-05, 0.0013057681847867375, 1.6931095568498688e-07, 1.771006931988444e-06], [0.0003783172592469943, 0.9119451020834894, 0.01355584108349552, 0.007934151377333675, 0.048955696238272596, 0.012159743294111996, 0.0016262459109244562, 0.003444902753125269], [2.4955855720056606e-05, 0.7034338341617546, 0.002351689827386263, 0.005550872781737811, 0.00036361649559594176, 0.0007774998660434242, 0.24728520711763669, 0.04021232389412502], [4.042957946824743e-06, 0.028052235578037068, 0.001006744071824627, 0.6788622499035816, 0.0008798842875521843, 0.05923923277843909, 0.0008529627655822905, 0.23110264765703648], [0.0038398739318443943, 0.1538646855625499, 0.34564265506122654, 0.195459752014816, 0.12240804021948887, 0.13656008884644544, 0.011589263589675632, 0.030635640773953574], [3.403205910986208e-05, 0.012433631432893324, 0.03366449291014765, 0.008021798903304051, 0.7400818444368041, 0.20560710156587386, 8.862936774378656e-05, 6.84693241234135e-05], [1.8282582070905715e-05, 0.5527405247713405, 0.028670321026817436, 0.39313469098773735, 0.006176487526379177, 0.018833199909769133, 2.69382391779374e-05, 0.0003995549567075421], [1.490499543754694e-05, 0.015116871260797145, 0.03498892762464012, 0.003947402168005003, 0.004897378403959015, 0.0024429805041600266, 0.03520717670037088, 0.9033843583426304], [1.144482625124507e-05, 0.5191378630754291, 0.002713597454068984, 0.003361390814964994, 6.578636686587985e-05, 0.0017436268025832948, 0.05764671387056215, 0.41531957678927445], [1.0186348564020541e-07, 4.080966618810238e-05, 5.369377224993199e-05, 0.9176741283781309, 1.3460074314411387e-05, 0.009430050081580484, 0.06342179576630494, 0.009365960397745812], [4.292669753178553e-05, 0.9859903885561303, 0.004792754775180582, 0.00566954631334909, 0.0005320147570857028, 0.001271343639911702, 0.00058019102761067, 0.0011208342332002614], [0.00033749203406100526, 0.33028829663504433, 0.06415754444563057, 0.1670927616246831, 0.39264543105351873, 0.0019752440597943727, 0.007099520673006143, 0.03640370947426169], [1.4088815115038406e-07, 0.00014886010985458903, 6.558878727850153e-05, 0.9058768841490956, 1.369366007819178e-05, 0.093890685379756, 4.507953842758936e-07, 3.6962304018338602e-06], [2.810457666555844e-05, 0.8364164587284509, 0.00227273585738985, 0.03831920087145752, 0.001900954461662174, 0.11982974529132354, 0.0007139122663090223, 0.0005188879467412015], [9.619965517840563e-05, 0.166810506860732, 0.7895679704507819, 0.006661546693299247, 0.0005088481561199799, 0.03490664717951934, 5.262109676372859e-05, 0.0013956599076055069], [2.6617264807985337e-07, 0.0036093749991347895, 6.991268438662882e-05, 4.3285645266589635e-05, 5.569132377528975e-05, 0.9961944734770852, 2.447710677374975e-05, 2.5185909293825687e-06], [1.36861167561132e-05, 0.0963915467355072, 0.11582450418228721, 0.004331810044126059, 0.016891121256431024, 0.0025058852926865527, 0.059396535294716, 0.7046449110774897], [2.4716490404282292e-05, 0.9644621196548608, 0.019782763444150364, 0.003562275984348998, 0.008668283534498033, 0.001892488971684833, 0.0004316767554663531, 0.0011756751645864458]]"
5,0.10344827586206896,0.05625,0.09375,0.06439393939393939,0.655421156942896,"[5, 5, 1, 3, 1, 1, 3, 6, 7, 2, 0, 3, 0, 4, 6, 2, 2, 3, 6, 7, 6, 0, 0, 5, 3, 3, 4, 4, 2]","[[0.00011390121620627411, 0.5951683994362396, 0.0147887868908302, 0.044725619522720673, 0.030977592404376773, 0.018678596292087596, 0.02756098564349671, 0.2679861185940421], [0.00012364624814127965, 0.18009288874355617, 0.781823021113721, 0.03007986731413582, 0.002439926024217684, 0.004166774515088162, 0.0008688523196190611, 0.00040502372152062375], [1.3158098937385359e-05, 0.986696147569581, 0.0020898618527354505, 0.005893011888401592, 0.003581391848988705, 0.0009126377314243598, 4.9887768073885064e-05, 0.0007639032418574662], [9.138917700951109e-06, 0.9281502055507382, 0.06944926107132199, 0.00027211995054706806, 3.464260627632357e-05, 0.0016988613417257535, 1.0526504169390217e-05, 0.00037524405752015953], [0.00010978375647964655, 0.031750899423308915, 0.9275356282882663, 0.010223435799030017, 0.02313385401684635, 0.006098937253730736, 0.0004769039155426662, 0.0006705575467954234], [5.912711281590443e-06, 0.03456667850258944, 0.9635626699117686, 0.0007161464352952643, 0.00030919377274511614, 0.000471644310995915, 0.00019920064108401675, 0.0001685537142401072], [0.00020471081216496759, 0.09058779817708745, 0.005389548797080677, 0.4182164121232121, 0.4812136213824303, 0.0012696804280906587, 0.00033078102693578785, 0.0027874472529981196], [0.0002242495831863726, 0.2105729544170976, 0.504968099788146, 0.00465514689377854, 0.026887833444037283, 0.0020159963625324363, 0.02642221745642384, 0.22425350205479777], [4.426159141576519e-07, 0.00018799238787359454, 7.302552180779326e-05, 0.9380411172007628, 0.00012276098183510386, 0.0026941376128261966, 6.938036195398166e-05, 0.058811143317026165], [2.2560242973466878e-05, 0.9428713366566361, 0.012484028894896892, 0.0001808286429400353, 0.0022540630077127156, 0.03017370298065281, 7.721189666278623e-05, 0.01193626767752518], [7.699046472841594e-06, 0.8703650181188717, 0.12081167416498685, 0.0023131529959745287, 0.0007395731722253838, 0.004854427842886275, 0.00014940730887947357, 0.0007590473497031697], [1.6911338168860999e-07, 0.0003215082803567203, 0.41929047784514745, 0.5790489719583958, 3.1164300044258667e-05, 0.0013057681847867375, 1.6931095568498688e-07, 1.771006931988444e-06], [0.0003783172592469943, 0.9119451020834894, 0.01355584108349552, 0.007934151377333675, 0.048955696238272596, 0.012159743294111996, 0.0016262459109244562, 0.003444902753125269], [2.4955855720056606e-05, 0.7034338341617546, 0.002351689827386263, 0.005550872781737811, 0.00036361649559594176, 0.0007774998660434242, 0.24728520711763669, 0.04021232389412502], [4.042957946824743e-06, 0.028052235578037068, 0.001006744071824627, 0.6788622499035816, 0.0008798842875521843, 0.05923923277843909, 0.0008529627655822905, 0.23110264765703648], [0.0038398739318443943, 0.1538646855625499, 0.34564265506122654, 0.195459752014816, 0.12240804021948887, 0.13656008884644544, 0.011589263589675632, 0.030635640773953574], [3.403205910986208e-05, 0.012433631432893324, 0.03366449291014765, 0.008021798903304051, 0.7400818444368041, 0.20560710156587386, 8.862936774378656e-05, 6.84693241234135e-05], [1.8282582070905715e-05, 0.5527405247713405, 0.028670321026817436, 0.39313469098773735, 0.006176487526379177, 0.018833199909769133, 2.69382391779374e-05, 0.0003995549567075421], [1.490499543754694e-05, 0.015116871260797145, 0.03498892762464012, 0.003947402168005003, 0.004897378403959015, 0.0024429805041600266, 0.03520717670037088, 0.9033843583426304], [1.144482625124507e-05, 0.5191378630754291, 0.002713597454068984, 0.003361390814964994, 6.578636686587985e-05, 0.0017436268025832948, 0.05764671387056215, 0.41531957678927445], [1.0186348564020541e-07, 4.080966618810238e-05, 5.369377224993199e-05, 0.9176741283781309, 1.3460074314411387e-05, 0.009430050081580484, 0.06342179576630494, 0.009365960397745812], [4.292669753178553e-05, 0.9859903885561303, 0.004792754775180582, 0.00566954631334909, 0.0005320147570857028, 0.001271343639911702, 0.00058019102761067, 0.0011208342332002614], [0.00033749203406100526, 0.33028829663504433, 0.06415754444563057, 0.1670927616246831, 0.39264543105351873, 0.0019752440597943727, 0.007099520673006143, 0.03640370947426169], [1.4088815115038406e-07, 0.00014886010985458903, 6.558878727850153e-05, 0.9058768841490956, 1.369366007819178e-05, 0.093890685379756, 4.507953842758936e-07, 3.6962304018338602e-06], [2.810457666555844e-05, 0.8364164587284509, 0.00227273585738985, 0.03831920087145752, 0.001900954461662174, 0.11982974529132354, 0.0007139122663090223, 0.0005188879467412015], [9.619965517840563e-05, 0.166810506860732, 0.7895679704507819, 0.006661546693299247, 0.0005088481561199799, 0.03490664717951934, 5.262109676372859e-05, 0.0013956599076055069], [2.6617264807985337e-07, 0.0036093749991347895, 6.991268438662882e-05, 4.3285645266589635e-05, 5.569132377528975e-05, 0.9961944734770852, 2.447710677374975e-05, 2.5185909293825687e-06], [1.36861167561132e-05, 0.0963915467355072, 0.11582450418228721, 0.004331810044126059, 0.016891121256431024, 0.0025058852926865527, 0.059396535294716, 0.7046449110774897], [2.4716490404282292e-05, 0.9644621196548608, 0.019782763444150364, 0.003562275984348998, 0.008668283534498033, 0.001892488971684833, 0.0004316767554663531, 0.0011756751645864458]]"
